PLAYER_ID,PLAYER_NAME,COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,DRAFT_YEAR,DRAFT_NUMBER,POSITION
1631211,Trevor Keels,USA,6' 3'',215.0,Duke,2022,42,Guard
1641725,Trey Alexander,USA,6' 5'',185.0,Creighton,Undrafted,Undrafted,Guard
1641998,Trey Jemison III,USA,6' 10'',270.0,Alabama-Birmingham,Undrafted,Undrafted,Center
1630530,Trey Murphy III,USA,6' 8'',206.0,Virginia,2021,17,Forward
1642400,Tristan Enaruna,Netherlands,6' 7'',220.0,Cleveland State,Undrafted,Undrafted,Forward
1641774,Tristan Vukcevic,Italy,7' 0'',220.0,,2023,42,Forward
1641783,Tristan da Silva,Germany,6' 8'',217.0,Colorado,2024,18,Forward
1641803,Tristen Newton,USA,6' 5'',190.0,Connecticut,2024,49,Guard
1629660,Ty Jerome,USA,6' 5'',195.0,Virginia,2019,24,Guard-Forward
1631102,TyTy Washington Jr.,USA,6' 3'',195.0,Kentucky,2022,29,Guard
1631174,Tyler Burton,USA,6' 7'',215.0,Richmond,Undrafted,Undrafted,Forward
1629639,Tyler Herro,USA,6' 5'',195.0,Kentucky,2019,13,Guard
1642278,Tyler Kolek,USA,6' 2'',195.0,Marquette,2024,34,Guard
1641890,Tyler Smith,USA,6' 9'',224.0,,2024,33,Forward
1631213,Tyrese Martin,USA,6' 6'',215.0,Connecticut,2022,51,Forward
1630178,Tyrese Maxey,USA,6' 2'',200.0,Kentucky,2020,21,Guard
1642878,Tyrese Proctor,Australia,6' 4'',185.0,Duke,2025,49,Guard
1630623,Tyson Etienne,USA,6' 0'',200.0,Wichita State,Undrafted,Undrafted,Guard
1626145,Tyus Jones,USA,6' 0'',196.0,Duke,2015,24,Guard
1642845,VJ Edgecombe,USA,6' 4'',190.0,Baylor,2025,3,Guard
1641705,Victor Wembanyama,France,7' 4'',235.0,,2023,1,Forward-Center
1631246,Vince Williams Jr.,USA,6' 4'',205.0,Va Commonwealth,2022,47,Guard
1642884,Vladislav Goldin,Russia,7' 0'',250.0,Michigan,Undrafted,Undrafted,Center
1630249,Vít Krejčí,Czech Republic,6' 8'',195.0,,2020,37,Guard
1631117,Walker Kessler,USA,7' 2'',245.0,Auburn,2022,22,Center
1642383,Walter Clayton Jr.,USA,6' 4'',195.0,Florida,2025,18,Guard
1628976,Wendell Carter Jr.,USA,6' 10'',270.0,Duke,2018,7,Center-Forward
1631111,Wendell Moore Jr.,USA,6' 5'',215.0,Duke,2022,26,Guard
1642954,Will Richard,USA,6' 3'',206.0,Florida,2025,56,Guard
1642860,Will Riley,USA,6' 9'',180.0,Illinois-Urbana-Champaign,2025,21,Forward
1630214,Xavier Tillman,USA,6' 8'',245.0,Michigan State,2020,35,Forward
1642905,Yang Hansen,China,7' 1'',270.0,,2025,16,Center
1642949,Yanic Konan Niederhäuser,Switzerland,6' 11'',242.0,Penn State,2025,30,Center
1642530,Yuki Kawamura,Japan,5' 7'',159.0,,Undrafted,Undrafted,Guard
1642274,Yves Missi,Cameroon,6' 11'',235.0,Baylor,2024,21,Center
1642258,Zaccharie Risacher,France,6' 8'',200.0,,2024,1,Forward
1628380,Zach Collins,USA,6' 9'',240.0,Gonzaga,2017,10,Forward-Center
1641744,Zach Edey,Canada,7' 3'',305.0,Purdue,2024,9,Center
203897,Zach LaVine,USA,6' 5'',200.0,UCLA,2014,13,Guard
1630192,Zeke Nnaji,USA,6' 10'',240.0,Arizona,2020,22,Forward-Center
1630533,Ziaire Williams,USA,6' 9'',185.0,Stanford,2021,10,Forward
1629627,Zion Williamson,USA,6' 6'',284.0,Duke,2019,1,Forward
1642389,Zyon Pullin,USA,6' 4'',206.0,Florida,Undrafted,Undrafted,Guard
